priority,business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
standard,Beautynailhairsalons,(918) 413-9214,website,hair_salon,Spiro,OK,ddg_website:beautynailhairsalons.com,ddg_individual_website,https://www.beautynailhairsalons.com/US/Spiro/101250339436229/Beauty-on-Broadway,True,2026-07-23T12:21:00
standard,Fromok2You,(918) 308-9885,website,hair_salon,Muldrow,OK,ddg_website:fromok2you.com,ddg_individual_website,https://fromok2you.com/thegoldenhoursalon,True,2026-07-23T12:27:03
standard,Dovercolorbar,(580) 552-1375,website,hair_salon,Dover,OK,ddg_website:dovercolorbar.com,ddg_individual_website,https://www.dovercolorbar.com/,True,2026-07-23T12:28:32
standard,Beautynailhairsalons,(918) 906-9640,website,hair_salon,Cashion,OK,ddg_website:beautynailhairsalons.com,ddg_individual_website,https://www.beautynailhairsalons.com/US/Cashion/952765567920955/Glow-Out-West,True,2026-07-23T12:28:38
standard,Vagaro,(580) 668-8303,website,hair_salon,Gene Autry,OK,ddg_website:vagaro.com,ddg_individual_website,https://www.vagaro.com/listings/gene-autry--ok,True,2026-07-23T12:31:53
standard,Local.Yahoo,(580) 351-0010,website,hair_salon,Geronimo,OK,ddg_website:local.yahoo.com,ddg_individual_website,https://local.yahoo.com/consumer-services/beauty-and-personal-care/hair-salons/ok/geronimo/6/,True,2026-07-23T12:32:28
standard,Mesasalontulsa,(918) 671-6376,website,hair_salon,Tulsa,OK,ddg_website:mesasalontulsa.com,ddg_individual_website,https://www.mesasalontulsa.com/,True,2026-07-23T12:35:18
standard,Beautynailhairsalons,(405) 853-0449,website,hair_salon,Hennessey,OK,ddg_website:beautynailhairsalons.com,ddg_individual_website,https://www.beautynailhairsalons.com/US/Hennessey/103414411579398/AJ%E2%80%99s-Hair-Shop,True,2026-07-23T12:35:39
standard,Reviews.Birdeye,(580) 613-0041,website,hair_salon,Custer City,OK,ddg_website:reviews.birdeye.com,ddg_individual_website,https://reviews.birdeye.com/shayna-s-curly-q-s-do-s-170007679277317,True,2026-07-23T12:37:25
standard,3Sixtystyle,(918) 940-8443,website,hair_salon,Eldorado,OK,ddg_website:3sixtystyle.com,ddg_individual_website,https://www.3sixtystyle.com/,True,2026-07-23T12:37:38
